metric,method,id_sizes,mean_rank,mean_value
AUPR_OUT,rsn_reported,6,2.166667,0.739969
AUPR_OUT,openmax,6,4.0,0.737994
AUPR_OUT,msp,6,5.333333,0.719258
AUPR_OUT,knn,6,6.0,0.728049
AUPR_OUT,entropy,6,6.5,0.712854
AUPR_OUT,rmd,6,6.5,0.748619
AUPR_OUT,maxlogit,6,6.666667,0.71828
AUPR_OUT,gen,6,8.666667,0.710862
AUPR_OUT,gradnorm,6,9.5,0.710458
AUPR_OUT,kl_matching,6,9.666667,0.723517
AUPR_OUT,energy,6,10.333333,0.709969
AUPR_OUT,mahalanobis,6,12.0,0.681982
AUPR_OUT,psm,6,12.0,0.68195
AUPR_OUT,scale,6,12.166667,0.7058
AUPR_OUT,vim,6,13.5,0.677899
AUPR_OUT,mahalanobispp,6,14.166667,0.678402
AUPR_OUT,nci,6,14.333333,0.673925
AUPR_OUT,dice,6,17.666667,0.642725
AUPR_OUT,react,6,18.833333,0.562323
AUPR_OUT,ashs,6,20.666667,0.452938
AUPR_OUT,ashb,6,20.833333,0.453793
AUPR_OUT,ashp,6,21.5,0.445768
AUROC,rsn_reported,6,2.5,0.870392
AUROC,openmax,6,3.333333,0.857563
AUROC,knn,6,4.166667,0.864983
AUROC,msp,6,4.666667,0.854203
AUROC,maxlogit,6,6.166667,0.852838
AUROC,entropy,6,7.833333,0.846635
AUROC,gen,6,9.333333,0.843824
AUROC,gradnorm,6,9.333333,0.84429
AUROC,rmd,6,10.5,0.840294
AUROC,mahalanobis,6,10.666667,0.838197
AUROC,vim,6,10.666667,0.838506
AUROC,energy,6,10.833333,0.842311
AUROC,psm,6,11.333333,0.837939
AUROC,scale,6,12.0,0.836913
AUROC,kl_matching,6,12.5,0.827142
AUROC,mahalanobispp,6,13.5,0.83521
AUROC,nci,6,15.833333,0.81526
AUROC,dice,6,16.0,0.781545
AUROC,react,6,18.833333,0.670571
AUROC,ashs,6,20.833333,0.523921
AUROC,ashp,6,21.0,0.518681
AUROC,ashb,6,21.166667,0.510139
FPR95,rsn_reported,6,1.333333,0.566419
FPR95,knn,6,3.0,0.609024
FPR95,rmd,6,4.666667,0.594871
FPR95,openmax,6,6.666667,0.62828
FPR95,entropy,6,6.833333,0.656329
FPR95,gen,6,7.0,0.656563
FPR95,energy,6,7.166667,0.656412
FPR95,gradnorm,6,8.166667,0.65832
FPR95,kl_matching,6,8.333333,0.634326
FPR95,maxlogit,6,8.666667,0.660157
FPR95,msp,6,8.666667,0.66123
FPR95,scale,6,10.0,0.662286
FPR95,psm,6,13.166667,0.72072
FPR95,mahalanobis,6,14.666667,0.725925
FPR95,nci,6,14.666667,0.746092
FPR95,vim,6,15.833333,0.733731
FPR95,mahalanobispp,6,16.166667,0.735972
FPR95,react,6,16.833333,0.853814
FPR95,dice,6,18.166667,0.812879
FPR95,ashb,6,20.166667,0.935417
FPR95,ashs,6,20.833333,0.942649
FPR95,ashp,6,22.0,0.950117
